filename,true_label,ai_probability,pred_at_0.50,correct
coco_000000000802.jpg,authentic,0.0017,authentic,yes
hf_real_06e7d3507c_asconv.png,authentic,0.0928,authentic,yes
coco_000000008277.jpg,authentic,0.0025,authentic,yes
2026jan13_a0fb5a68.png,authentic,0.0038,authentic,yes
coco_000000009483.jpg,authentic,0.0013,authentic,yes
coco_000000001490.jpg,authentic,0.0011,authentic,yes
hf_real_05a71e7712.jpg,authentic,0.0013,authentic,yes
coco_000000013291.jpg,authentic,0.0015,authentic,yes
coco_000000014380.jpg,authentic,0.0043,authentic,yes
2026feb05_8e81145a.png,authentic,0.0021,authentic,yes
coco_000000001532.jpg,authentic,0.0010,authentic,yes
2026jan25_05e21672.png,authentic,0.0022,authentic,yes
2026jan09_e5546942.png,authentic,0.0022,authentic,yes
coco_000000012667.jpg,authentic,0.0011,authentic,yes
coco_000000005193_asconv.png,authentic,0.0384,authentic,yes
2026feb26_045d7e1a_asconv.png,authentic,0.0020,authentic,yes
hf_real_0111ed35dc.jpg,authentic,0.0019,authentic,yes
hf_real_fff4aa8820.jpg,authentic,0.0014,authentic,yes
hf_real_549565511d.jpg,authentic,0.0028,authentic,yes
coco_000000005600.jpg,authentic,0.0013,authentic,yes
2026mar06_a735391b.jpg,authentic,0.0011,authentic,yes
coco_000000004495.jpg,authentic,0.0012,authentic,yes
2026mar08_6671d680.png,authentic,0.0016,authentic,yes
2026feb13_b55ae003_asconv.png,authentic,0.0378,authentic,yes
coco_000000007816_asconv.png,authentic,0.0488,authentic,yes
2026jan18_69870a05.png,authentic,0.0023,authentic,yes
wikimedia_100622105.jpg,authentic,0.0052,authentic,yes
coco_000000011149.jpg,authentic,0.0015,authentic,yes
coco_000000014226.jpg,authentic,0.0032,authentic,yes
2026jan29_4e67fb28_asconv.png,authentic,0.0024,authentic,yes
hf_real_b5eb5b98da.jpg,authentic,0.0020,authentic,yes
hf_real_5dc30d1540.jpg,authentic,0.0030,authentic,yes
hf_real_18d844412a.jpg,authentic,0.0028,authentic,yes
hf_real_38a61da21b.jpg,authentic,0.0033,authentic,yes
coco_000000012670.jpg,authentic,0.0018,authentic,yes
coco_000000008532.jpg,authentic,0.0097,authentic,yes
coco_000000002006.jpg,authentic,0.0008,authentic,yes
2026feb02_636b5cf9.png,authentic,0.0017,authentic,yes
coco_000000000632.jpg,authentic,0.0016,authentic,yes
coco_000000013201.jpg,authentic,0.0016,authentic,yes
2026jan12_43084355.png,authentic,0.0024,authentic,yes
hf_real_ec22ace232_asconv.png,authentic,0.0489,authentic,yes
coco_000000001296.jpg,authentic,0.0015,authentic,yes
hf_real_b8d9838104.jpg,authentic,0.0009,authentic,yes
hf_real_c1a813e3a9.jpg,authentic,0.0016,authentic,yes
hf_real_06e7d3507c.jpg,authentic,0.0008,authentic,yes
2026feb13_b55ae003.jpg,authentic,0.0011,authentic,yes
hf_real_8bee8444dd.jpg,authentic,0.0022,authentic,yes
wikimedia_89274662.jpg,authentic,0.0026,authentic,yes
hf_real_3f730420fe.jpg,authentic,0.0015,authentic,yes
coco_000000009378.jpg,authentic,0.0011,authentic,yes
hf_real_0766966229.jpg,authentic,0.0012,authentic,yes
coco_000000011511.jpg,authentic,0.0018,authentic,yes
2026mar03_0c97982e.png,authentic,0.0033,authentic,yes
hf_real_1b203070d6.jpg,authentic,0.0017,authentic,yes
2026feb20_3c633764.jpg,authentic,0.0022,authentic,yes
hf_real_8b9260141c.jpg,authentic,0.0006,authentic,yes
coco_000000008277_asconv.png,authentic,0.0172,authentic,yes
hf_real_43b8285121.jpg,authentic,0.0016,authentic,yes
coco_000000011699.jpg,authentic,0.0014,authentic,yes
wikimedia_169585191.jpg,authentic,0.0019,authentic,yes
hf_real_bec689c56e.jpg,authentic,0.0009,authentic,yes
hf_real_7fa7db1519.jpg,authentic,0.0025,authentic,yes
coco_000000005001.jpg,authentic,0.0023,authentic,yes
coco_000000001532_asconv.png,authentic,0.0435,authentic,yes
hf_real_f074c3bf39.jpg,authentic,0.0020,authentic,yes
coco_000000000885.jpg,authentic,0.0020,authentic,yes
hf_real_a0de5fa56f.jpg,authentic,0.0015,authentic,yes
coco_000000014007.jpg,authentic,0.0046,authentic,yes
coco_000000003255.jpg,authentic,0.0017,authentic,yes
2026feb20_23162658.png,authentic,0.0015,authentic,yes
2026mar16_b4d26383.png,authentic,0.0016,authentic,yes
coco_000000002006_asconv.png,authentic,0.0377,authentic,yes
hf_real_3d4483f6fd.jpg,authentic,0.0117,authentic,yes
coco_000000001761.jpg,authentic,0.0013,authentic,yes
synthetic_0028.png,ai_generated,0.9985,ai_generated,yes
output-2.jpg,ai_generated,0.9503,ai_generated,yes
hf_ai_ca7e88d961.png,ai_generated,0.9876,ai_generated,yes
hf_ai_ade82a963c.png,ai_generated,0.9970,ai_generated,yes
hf_ai_bdab5f826b.png,ai_generated,0.9975,ai_generated,yes
output-4.jpg,ai_generated,0.9774,ai_generated,yes
